bot_id,alert_id,type,location,attacker_address_location_in_description,metadata_field,address_information
0x7cfeb792e705a82e984194e1e8d0e9ac3aa48ad8f6530d3017b1e2114d3519ac,LARGE-PROFIT,eoa,metadata,,txFrom,
0x7cfeb792e705a82e984194e1e8d0e9ac3aa48ad8f6530d3017b1e2114d3519ac,LARGE-PROFIT,eoa,metadata,,tx_from,
0x1a69f5ec8ef436e4093f9ec4ce1a55252b7a9a2d2c386e3f950b79d164bc99e0,NIP-3,eoa,metadata,,attacker,
0x1a69f5ec8ef436e4093f9ec4ce1a55252b7a9a2d2c386e3f950b79d164bc99e0,NIP-2,eoa,metadata,,attacker,
0x9324d7865e1bcb933c19825be8482e995af75c9aeab7547631db4d2cd3522e0e,FUNDING-CHANGENOW-LOW-AMOUNT,eoa,description,0,,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SUSPICIOUS-APPROVAL,eoa,metadata,,suspiciousContractCreator,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SUSPICIOUS-APPROVAL,eoa,metadata,,suspiciousSpender,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SUSPICIOUS-APPROVAL,eoa,metadata,,suspicious_contract_creator,
0x8badbf2ad65abc3df5b1d9cc388e419d9255ef999fb69aac6bf395646cf01c14,ICE-PHISHING-SUSPICIOUS-APPROVAL,eoa,metadata,,suspicious_spender,
0x887678a85e645ad060b2f096812f7c71e3d20ed6ecf5f3acde6e71baa4cf86ad,NON-MALICIOUS-TOKEN-CONTRACT-CREATION,eoa,description,0,,
0x6aa2012744a3eb210fc4e4b794d9df59684d36d502fd9efe509a867d0efa5127,IMPERSONATED-TOKEN-DEPLOYMENT,eoa,description,0,,
0x067e4c4f771f288c686efa574b685b98a92918f038a478b82c9ac5b5b6472732,NFT-WASH-TRADE,eoa,metadata,,SellerWallet,
0x067e4c4f771f288c686efa574b685b98a92918f038a478b82c9ac5b5b6472732,NFT-WASH-TRADE,eoa,metadata,,BuyerWallet,
