banned_address,wallet_tag,data_source
0x35aa21bbe598bb7782b97a6e3d1676b8d41c7a48,Fake_Phishing3667,etherscan-phish-hack-list
0x35ac10fa8e4b2af244118dcdedd986fda2609970,Fake_Phishing3563,etherscan-phish-hack-list
0x35b62c8ab3c05ca5706c57cb8b79d79d7e23abbf,Fake_Phishing2052,etherscan-phish-hack-list
0x35bf085175dc3e3f750bffa53711fb4acdbf2aed,Fake_Phishing2447,etherscan-phish-hack-list
0x35f5c0656a70303f1ce82cdee9c00474be5015e6,Fake_Phishing3273,etherscan-phish-hack-list
0x643ebb288b3f5a10530ecb38e857f1f0c64383bc,Fake_Phishing5122,etherscan-phish-hack-list
0x6441363696bb5377477e96d3df05604732e7ec35,Fake_Phishing3790,etherscan-phish-hack-list
0x6442dc8bcb92fcd556c78d91f551cdaad62654f4,Fake_Phishing1402,etherscan-phish-hack-list
0x645125230e924d2db84be4cabf946c87d5be8935,Fake_Phishing634,etherscan-phish-hack-list
0x6456b53971924d797a1a05e36daf0d3125f16a32,Fake_Phishing3649,etherscan-phish-hack-list
0x645860b0cb384121e2e97cd122b91422a517d0aa,Fake_Phishing5070,etherscan-phish-hack-list
0x645a58a563ab8c94207e8faea54bcb97e02d23c9,Fake_Phishing1576,etherscan-phish-hack-list
0x645e1f399a20d9804159716d62dbd37613605bd3,Fake_Phishing3117,etherscan-phish-hack-list
0x646cb4fac8f9f5b86deda2757eaa6d6a4c82f793,Fake_Phishing3654,etherscan-phish-hack-list
0x6471d81163623b9b90719acac81d13511a898771,Fake_Phishing4165,etherscan-phish-hack-list
0x647c809489c3384ade0d26bd938bd5400cd5a4a9,Phishing Token Deployer,etherscan-phish-hack-list
0x6485e2e2a62b8b1c9c88476ec8bb2a03a2b70e3c,Fake_Phishing3503,etherscan-phish-hack-list
0x648e163b47a69c06fa4a0904324afe393763b323,Fake_Phishing168,etherscan-phish-hack-list
0x648fbe0e7cece0362ae02cc4f925e282ce15ba90,Fake_Phishing2744,etherscan-phish-hack-list
0x64ac294a477332bba968f790ffa089647bb762a1,Fake_Phishing551,etherscan-phish-hack-list
0x64b212d2fe54db498df6099e5a9afa8298068f89,Fake_Phishing1226,etherscan-phish-hack-list
0x64c383774e2d88f4ca64a64df9f2e24b5d86ebea,Fake_Phishing1454,etherscan-phish-hack-list
0x64c5971dd27ff063ee4bc5e4c231febd9fc228cd,Fake_Phishing765,etherscan-phish-hack-list
0x64c940690a3660e68d93d8c6412d900bdd3e11e5,Fake_Phishing1167,etherscan-phish-hack-list
0x64d2d15a9f18dec738ef0a5f947a6e4b648e082b,Fake_Phishing3176,etherscan-phish-hack-list
0x64ebd0467304e04f96520ab73c6e07d40ad25970,Fake_Phishing1486,etherscan-phish-hack-list
0x64f0d720ce8b97ba44cd002005d2dfa3186c0580,Exit Scam YYFI Token,etherscan-phish-hack-list
0x64f3502c4b6b7e7f106e7ab1f175a4e2c2fde45f,Fake_Phishing325,etherscan-phish-hack-list
0x65088f603a0998876efe5a786fa64ee13e667e0b,Fake_Phishing4930,etherscan-phish-hack-list
0x650d8acbde455717a98d613b316cb200e015de5d,Fake_Phishing5059,etherscan-phish-hack-list
0x65403aa21fbe76cc8edcd42ecdd0c6cc5c972f73,Fake_Phishing1685,etherscan-phish-hack-list
0x65440e4ce8a9a596a20ec8f910dfc8b1a20c5f7a,Fake_Phishing2972,etherscan-phish-hack-list
0x6551fb9be444987f7482012cbf7ea95a1ee8dd0e,bZx PrivKey Exploiter 4,etherscan-heist-list
0x656ba2d1f8aa1df72392b066b9bbcedcc86ded66,Fake_Phishing3052,etherscan-phish-hack-list
0x6574c0bf7f3d144f5837acc160773ec8f2a5cde9,Fake_Phishing4545,etherscan-phish-hack-list
0x65a27722ef037eb23fb85f50852c849de79dd219,Fake_Phishing3429,etherscan-phish-hack-list
0x65a30be8933d0bb92b4d5d25f53de5726b34993b,Fake_Phishing4948,etherscan-phish-hack-list
0x65b4bb8493d39538954f0985908d314690d8179b,Fake_Phishing4828,etherscan-phish-hack-list
0x65dae44c9fead4c807cfe684613c0dbe7c55dfd2,Fake_Phishing5426,etherscan-phish-hack-list
0x661169f8c7fe4d409cf7503355d46aec310dc38f,Fake_Phishing3267,etherscan-phish-hack-list
0x66135496a28c81e22fbe4b9398b25f5cf7022325,Fake_Phishing4235,etherscan-phish-hack-list
0x6617253bb43a0d112ca065e5d2f86507d6d67ef5,Fake_Phishing3377,etherscan-phish-hack-list
0x662cc6268eb3c8d75bf0415a54b1de9fcbe55ca5,Fake_Phishing4574,etherscan-phish-hack-list
0x663d381bf51dd2da75f4e39b479bed02cf569e07,Fake_Phishing5291,etherscan-phish-hack-list
0x6642cec9d02e4e669103a3ed4f3505f437b8fe73,Fake_Phishing672,etherscan-phish-hack-list
0x6652d9ffbd60f7b3690839698708e4b27a462a60,Fake_Phishing3264,etherscan-phish-hack-list
0x66817272d39da7fd4c552f430fc0b694e357c157,Fake_Phishing15,etherscan-phish-hack-list
0x6683a4be619299c84ca1815bfd9540949b7bddfe,Fake_Phishing2794,etherscan-phish-hack-list
0x6683f908546e5c86ae8af05735a8016c4526840c,Fake_Phishing3927,etherscan-phish-hack-list
0x6689fbf833f97850cbe93a5bc1ef62cc5e808b72,Fake_Phishing4028,etherscan-phish-hack-list
0x66a6892477f9b48ed47f407b30dde754405e1910,Fake_Phishing980,etherscan-phish-hack-list
0x66e057e55571ce60bd920dd4355054fa93e37212,Fake_Phishing5530,etherscan-phish-hack-list
0x67029ce5c22a49f8c5565a59d45c2ea7b67c8313,Fake_Phishing2683,etherscan-phish-hack-list
0x671167ffa438c87f134395d68b820d5a42202214,Fake_Phishing4978,etherscan-phish-hack-list
0x672215a018b8151c355591a4a15b8be240539bcc,Fake_Phishing3504,etherscan-phish-hack-list
0x6741ea97daadff57309b7e158bc0e46219b60e84,Fake_Phishing3597,etherscan-phish-hack-list
0x67470e92a9a5b61b80c43a0dc160eec08fabf1b1,Fake_Phishing984,etherscan-phish-hack-list
0x67542f6e4ea651f4c72ab24abf2eb9c2c202fce1,Fake_Phishing5562,etherscan-phish-hack-list
0x67965a9af69dd4fa9d6a60ff55d5bac6e453e0a8,Fake_Phishing3484,etherscan-phish-hack-list
0x6799b40b32f34c928aad6d2104c4a05ff617640d,Fake_Phishing2631,etherscan-phish-hack-list
0x679a8cf6e181ebbcd9d14d0bd9595d8cfb79ecdf,Fake_Phishing1472,etherscan-phish-hack-list
0x679c34c26e7841b9fc0ce0ff40579219ee3a1ed6,Fake_Phishing733,etherscan-phish-hack-list
0x67abc0ac6a9713524d49228c03f3f524a7327678,Fake_Phishing2686,etherscan-phish-hack-list
0x67c4612b31cb90e6215273346a7a61f74e3f2c45,Fake_Phishing3305,etherscan-phish-hack-list
0x67c9c1c13033d381e9089365a0bb560421ec2773,Fake_Phishing4773,etherscan-phish-hack-list
0x67dc51fca0626bcb18eaf82a0e8aa355019b8723,Fake_Phishing4155,etherscan-phish-hack-list
0x67dd84441664149a5deaef3880a67ba1cb9e174f,Fake_Phishing1750,etherscan-phish-hack-list
0x67dfa651e7aba5ef524920d2d69302ca204be633,Fake_Phishing1379,etherscan-phish-hack-list
0x67ed4c80fbe18715ca67b8d7d20bc20dbd4f1b69,Fake_Phishing4141,etherscan-phish-hack-list
0x680f7bea6eba9adcd0f47a0de630cfa8f95bf0ba,Fake_Phishing1516,etherscan-phish-hack-list
0x681a36b6f411d10d78fe8446118a4ddae489e8b1,Fake_Phishing759,etherscan-phish-hack-list
0x68283006bdfca9e1a9691601916e99f549584e1c,Fake_Phishing2659,etherscan-phish-hack-list
0x68329d351d2a0a885a4857195d697cce2dab6177,Fake_Phishing716,etherscan-phish-hack-list
0x6834d3096793d0731348f1581ae1b20c9b79e26a,Fake_Phishing722,etherscan-phish-hack-list
0x68412063a56225ae349296a1db47788ccef4597c,Fake_Phishing2088,etherscan-phish-hack-list
0x684ede6645f1b71d77e0aeac519114ee8be3c410,Fake_Phishing2432,etherscan-phish-hack-list
0x685445fe51b31790538890a6468851afbf7a0519,Fake_Phishing43,etherscan-phish-hack-list
0x68575080a10c423406b29b44338d2be54237ea15,Fake_Phishing3321,etherscan-phish-hack-list
0xc912409a69f221b3bb1414894daf604c5f0439d0,Fake_Phishing2860,etherscan-phish-hack-list
0xc9465ce086cefa466542036594c3be4dfc2790d7,Fake_Phishing3431,etherscan-phish-hack-list
0xc9746c60b47aebbf13ba8e45144e4c2ddb3f0cba,Fake_Phishing3167,etherscan-phish-hack-list
0xc97b4d307ebfff74acfb97ebffc22d72df1c215d,Fake_Phishing5396,etherscan-phish-hack-list
0xc9873692dca4a6b6024f47f0e5fdac9a133e0a08,Fake_Phishing315,etherscan-phish-hack-list
0xc99196b2dfe705fc7200f3a942803f8fb03898ab,Fake_Phishing3521,etherscan-phish-hack-list
0xc9a08162b95915edf6570f0439757e1f655de576,Fake_Phishing458,etherscan-phish-hack-list
0xc9f32ce1127e44c51cbd182d6364f3d707fd0d47,FAKE: Status.im 1,etherscan-phish-hack-list
0xc9f4599726b1dd12f4a72f8e3234fea79d4d6fd0,Fake_Phishing3701,etherscan-phish-hack-list
0xca03cc32bb8063261aa6ff488b89da5b0f8a487e,Fake_Phishing4240,etherscan-phish-hack-list
0xca25f343893dc646a0f753581f1d8589ec34da7d,Fake_Phishing735,etherscan-phish-hack-list
0xca2909f8c9e9f656eb468d53c84c23063e2dec4c,Fake_Phishing238,etherscan-phish-hack-list
0xca412823e56b0f51c9b572eea53b6208bf43d9e0,Fake_Phishing5449,etherscan-phish-hack-list
0xca45363317fb20c899dc1b0eeaa0dd959c2ef723,Fake_Phishing1894,etherscan-phish-hack-list
